"ID","UserID","0","1","1000","1001","AK09911 Magnetometer","AK09911 Magnetometer -Wakeup Secondary","AK09911 Magnetometer -Wakeup Secondary Accuracy","AK09911 Magnetometer Accuracy","AK09911 Magnetometer Uncalibrated","AK09911 Magnetometer Uncalibrated -Wakeup Secondary","AK09911 Magnetometer Uncalibrated -Wakeup Secondary Accuracy","AK09911 Magnetometer Uncalibrated Accuracy","AMD","AMD Accuracy","BMP280 Pressure","BMP280 Pressure -Wakeup Secondary","BMP280 Pressure -Wakeup Secondary Accuracy","BMP280 Pressure Accuracy","Coarse Motion Classifier","Coarse Motion Classifier Accuracy","Date","ExitClicked","Game Rotation Vector","Game Rotation Vector -Wakeup Secondary","Game Rotation Vector -Wakeup Secondary Accuracy","Game Rotation Vector Accuracy","Gaze Detector -Wakeup","Gaze Detector -Wakeup Accuracy","Gaze Detector Secondary","Gaze Detector Secondary Accuracy","GeoMagnetic Rotation Vector","GeoMagnetic Rotation Vector -Wakeup Secondary","GeoMagnetic Rotation Vector -Wakeup Secondary Accuracy","GeoMagnetic Rotation Vector Accuracy","Gravity","Gravity -Wakeup Secondary","Gravity -Wakeup Secondary Accuracy","Gravity Accuracy","Heart Rate Monitor","Heart Rate Monitor -Wakeup Secondary","Heart Rate Monitor -Wakeup Secondary Accuracy","Heart Rate Monitor Accuracy","ICP-10100 Pressure","ICP-10100 Pressure -Wakeup Secondary","ICP-10100 Pressure -Wakeup Secondary Accuracy","ICP-10100 Pressure Accuracy","LSM6DS3 Accelerometer","LSM6DS3 Accelerometer -Wakeup Secondary","LSM6DS3 Accelerometer -Wakeup Secondary Accuracy","LSM6DS3 Accelerometer Accuracy","LSM6DS3 Accelerometer Uncalibrated","LSM6DS3 Accelerometer Uncalibrated -Wakeup Secondary","LSM6DS3 Accelerometer Uncalibrated -Wakeup Secondary Accuracy","LSM6DS3 Accelerometer Uncalibrated Accuracy","LSM6DS3 Gyroscope","LSM6DS3 Gyroscope -Wakeup Secondary","LSM6DS3 Gyroscope -Wakeup Secondary Accuracy","LSM6DS3 Gyroscope Accuracy","LSM6DS3 Gyroscope Uncalibrated","LSM6DS3 Gyroscope Uncalibrated -Wakeup Secondary","LSM6DS3 Gyroscope Uncalibrated -Wakeup Secondary Accuracy","LSM6DS3 Gyroscope Uncalibrated Accuracy","LTR308 ALSPS","LTR308 ALSPS -Wakeup Secondary","LTR308 ALSPS -Wakeup Secondary Accuracy","LTR308 ALSPS Accuracy","Linear Acceleration","Linear Acceleration -Wakeup Secondary","Linear Acceleration -Wakeup Secondary Accuracy","Linear Acceleration Accuracy","Orientation","Orientation -Wakeup Secondary","Orientation -Wakeup Secondary Accuracy","Orientation Accuracy","PAH8011 PPG","PAH8011 PPG -Wakeup Secondary","PAH8011 PPG -Wakeup Secondary Accuracy","PAH8011 PPG Accuracy","PAH8011 Touch","PAH8011 Touch -Wakeup Secondary","PAH8011 Touch -Wakeup Secondary Accuracy","PAH8011 Touch Accuracy","Pedometer","Pedometer Accuracy","QuitClicked","RMD","RMD Accuracy","Rotation Vector","Rotation Vector -Wakeup Secondary","Rotation Vector -Wakeup Secondary Accuracy","Rotation Vector Accuracy","Significant Motion Detector","StartClicked","Step Counter","Step Counter -Wakeup Secondary","Step Counter -Wakeup Secondary Accuracy","Step Counter Accuracy","Step Detector","Step Detector -Wakeup Secondary","Step Detector -Wakeup Secondary Accuracy","Step Detector Accuracy","Time","TraceTime","UnGaze Detector","UnGaze Detector Accuracy","Wrist Tilt Gesture","Wrist Tilt Gesture Accuracy","tsl258x-light","tsl258x-light Accuracy"
"7933","vapor2","","","","","","","","","","","","","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","2019-09-03","","[0.09481217, 0.13035588, 0.8565279, 0.49028346]","[0.020953506, 0.090967275, 0.88875264, 0.4487813]","3","3","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","[0.3392699, 3.101614, 9.297058]","[0.3392699, 3.101614, 9.297058]","3","3","","[0]","0","","[1004.53076]","[1004.53076]","3","3","[-0.32156372, 2.7357788, 9.338776]","[-0.32156372, 2.7357788, 9.338776]","2","2","[-0.32156372, 2.7357788, 9.338776, 0, 0, 0]","[-0.32156372, 2.7357788, 9.338776, 0, 0, 0]","3","3","[-0.23657227, 0.2137909, 0.5120239]","[-0.23657227, 0.2137909, 0.5120239]","3","3","[-0.22857666, 0.26475525, 0.47535706, 0.0079956055, 0.050964355, -0.03666687]","[-0.22857666, 0.26475525, 0.47535706, 0.0079956055, 0.050964355, -0.03666687]","3","3","[920]","[920]","3","3","[-0.5824776, 0.47782683, -1.0797462]","[-0.5824776, 0.47782683, -1.0797462]","3","3","","","","","[2.410849E-39, 4.660235E-39, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","","","3","[1]","[1]","3","3","","","","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","[8220]","[1]","3","3","","","","","11:49:44.412","","","","","","",""
"7934","vapor2","","","","","","","","","","","","","","","","","","","","","2019-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11:49:50.411","2","","","","","",""
"7935","vapor2","","","","","","","","","","","","","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","2019-09-03","","[0.03273068, 0.041894607, 0.70451814, 0.70769185]","[0.031297978, 0.04125679, 0.7045412, 0.7077712]","3","3","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","[-0.1292343, 1.0332041, 9.751214]","[-0.1292343, 1.0332041, 9.751214]","3","3","","[0]","0","","[1004.52313]","[1004.52313]","3","3","[-0.1078949, 1.0330353, 9.987473]","[-0.1078949, 1.0330353, 9.987473]","2","2","[-0.1078949, 1.0330353, 9.987473, 0, 0, 0]","[-0.1078949, 1.0330353, 9.987473, 0, 0, 0]","3","3","[0.0049591064, 0.016723633, 0.007827759]","[0.0049591064, 0.016723633, 0.007827759]","3","3","[0.012954712, 0.06768799, -0.028839111, 0.0079956055, 0.050964355, -0.03666687]","[0.012954712, 0.06768799, -0.028839111, 0.0079956055, 0.050964355, -0.03666687]","3","3","[845]","[845]","3","3","[0.02448903, -0.025349498, -0.0013923645]","[0.02448903, -0.025349498, -0.0013923645]","3","3","","","","","[1.19E-43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","","","3","[0]","[0]","3","3","","","","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","[8221]","[1]","3","3","","","","","11:49:54.364","","","","","","",""
"7936","vapor2","","","","","","","","","","","","","","","","","","","","","2019-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11:49:57.829","2","","","","","",""
"7937","vapor2","","","","","","","","","","","","","","","","","","","","","2019-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","11:50:01.208","","","","","","",""
"7938","vapor2","","","","","","","","","","","","","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","2019-09-03","","[0.013551621, 0.02307495, 0.70918834, 0.7045111]","[0.013551621, 0.02307495, 0.70918834, 0.7045111]","3","3","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","[-0.13034818, 0.50821495, 9.792605]","[-0.13034818, 0.50821495, 9.792605]","3","3","","[0]","0","","[1004.52094]","[1004.52094]","3","3","[-0.154068, 0.53796387, 9.987228]","[-0.154068, 0.53796387, 9.987228]","2","2","[-0.154068, 0.53796387, 9.987228, 0, 0, 0]","[-0.154068, 0.53796387, 9.987228, 0, 0, 0]","3","3","[0.0038604736, -0.0053863525, 0.015029907]","[0.0038604736, -0.0053863525, 0.015029907]","3","3","[0.011856079, 0.045578003, -0.021636963, 0.0079956055, 0.050964355, -0.03666687]","[0.011856079, 0.045578003, -0.021636963, 0.0079956055, 0.050964355, -0.03666687]","3","3","[373]","[373]","3","3","[-0.021084681, 0.019474804, -0.0033445358]","[-0.021084681, 0.019474804, -0.0033445358]","3","3","","","","","[8.8E-44, 4.3E-44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","","","3","[0]","[0]","3","3","","","","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","[8221]","[1]","3","3","","","","","11:50:04.341","","","","","","",""
"7939","vapor2","","","1","","","","","","","","","","","","","","","","","","2019-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11:50:05.229","","","","","","",""
"7940","vapor2","","","","","","","","","","","","","","","","","","","","","2019-09-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","09:09:46.285","","","","","","",""
"7941","vapor2","","","","","","","","","","","","","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","2019-09-09","","[0.11028909, 0.38328043, 0.87134844, 0.28580457]","[0.07283557, 0.31954804, 0.91589534, 0.23177563]","3","3","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","[-0.2636627, 7.1685038, 6.68681]","[-0.14423004, 6.071376, 7.6998687]","3","3","","[0]","0","","[1008.71075]","[1008.71075]","3","3","[0.11177063, 5.0644684, 5.8531494]","[0.11177063, 5.0644684, 5.8531494]","2","2","[0.11177063, 5.0644684, 5.8531494, 0, 0, 0]","[0.11177063, 5.0644684, 5.8531494, 0, 0, 0]","3","3","[0.49339294, 1.0531921, 0.4580078]","[0.49339294, 1.0531921, 0.4580078]","3","3","[0.5059204, 1.1034546, 0.431015, 0.012527466, 0.05026245, -0.026992798]","[0.5059204, 1.1034546, 0.431015, 0.012527466, 0.05026245, -0.026992798]","3","3","[736]","[736]","3","3","[0.2903492, -0.5286598, 2.213554]","[0.2586372, -1.1178918, -1.9874725]","3","3","","","","","[3.747668E-39, 4.655251E-39, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","","","3","[1]","[1]","3","3","","","","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","[8269]","[2]","3","3","","","","","09:09:48.782","","","","","","",""
"7942","vapor2","","","","","","","","","","","","","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","2019-09-09","","[0.2607267, 0.2438107, 0.66616607, 0.6548288]","[0.2607267, 0.2438107, 0.66616607, 0.6548288]","3","3","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","[0.27523413, 6.5341663, 7.3074837]","[0.27523413, 6.5341663, 7.3074837]","3","3","","[0]","0","","[1008.71484]","[1008.71484]","3","3","[0.24671936, 6.6458893, 7.4388733]","[0.24671936, 6.6458893, 7.4388733]","2","2","[0.24671936, 6.6458893, 7.4388733, 0, 0, 0]","[0.24671936, 6.6458893, 7.4388733, 0, 0, 0]","3","3","[0.016067505, 0.0060577393, 0.007446289]","[0.016067505, 0.0060577393, 0.007446289]","3","3","[0.02859497, 0.05632019, -0.019546509, 0.012527466, 0.05026245, -0.026992798]","[0.02859497, 0.05632019, -0.019546509, 0.012527466, 0.05026245, -0.026992798]","3","3","[754]","[754]","3","3","[-0.03193763, 0.030463696, 0.04051304]","[-0.03193763, 0.030463696, 0.04051304]","3","3","","","","","[7.4973E-40, 1.059206E-39, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","","","3","[1]","[1]","3","3","","","","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","[8270]","[2]","3","3","","","","","09:09:58.191","","","","","","",""
